filename,publication_date,download_time,primary_topic_id,primary_topic_name
W4408841507.pdf,2025-03-26,2025-08-14T08:16:48.405492,https://openalex.org/T12442,Thermal Radiation and Cooling Technologies
W4408818228.pdf,2025-03-25,2025-08-14T08:16:51.372758,https://openalex.org/T10241,Functional Brain Connectivity Studies
W4407779538.pdf,2025-02-20,2025-08-14T08:17:02.675368,https://openalex.org/T10713,Structural Load-Bearing Analysis
W4406914140.pdf,2025-01-28,2025-08-14T08:17:08.429998,https://openalex.org/T10657,Topological Materials and Phenomena
W4406852232.pdf,2025-01-27,2025-08-14T08:17:23.236844,https://openalex.org/T10750,Fermentation and Sensory Analysis
W4408566657.pdf,2025-03-18,2025-08-14T08:17:30.212728,https://openalex.org/T10036,Advanced Neural Network Applications
W4408705811.pdf,2025-03-21,2025-08-14T08:17:30.962595,https://openalex.org/T13702,Machine Learning in Healthcare
W4408876037.pdf,2025-03-26,2025-08-14T08:17:32.013700,https://openalex.org/T11948,Machine Learning in Materials Science
W4406085054.pdf,2025-01-06,2025-08-14T08:17:36.054509,https://openalex.org/T11525,Piezoelectric Actuators and Control
W4406848805.pdf,2025-01-27,2025-08-14T08:17:41.503044,https://openalex.org/T11512,Anomaly Detection Techniques and Applications
W4406852119.pdf,2025-01-27,2025-08-14T08:17:43.720256,https://openalex.org/T10876,Fault Detection and Control Systems
W4406915891.pdf,2025-01-28,2025-08-14T08:17:46.362801,https://openalex.org/T12371,Electrical Contact Performance and Analysis
W4408218745.pdf,2025-03-05,2025-08-14T08:17:54.301879,https://openalex.org/T10463,Pulsars and Gravitational Waves Research
W4406640059.pdf,2025-01-21,2025-08-14T08:18:20.892293,https://openalex.org/T10118,SARS-CoV-2 and COVID-19 Research
W4407009050.pdf,2025-01-31,2025-08-14T08:18:30.714853,https://openalex.org/T11689,Adversarial Robustness in Machine Learning
W4407170749.pdf,2025-02-05,2025-08-14T08:18:35.041657,https://openalex.org/T10211,Computational Drug Discovery Methods
W4408555470.pdf,2025-03-19,2025-08-14T08:18:47.878179,https://openalex.org/T10653,Robot Manipulation and Learning
W4408762766.pdf,2025-03-23,2025-08-14T08:18:50.438460,https://openalex.org/T10429,EEG and Brain-Computer Interfaces
W4408815168.pdf,2025-03-25,2025-08-14T08:18:53.815262,https://openalex.org/T10107,Ferroelectric and Piezoelectric Materials
W4408870115.pdf,2025-03-26,2025-08-14T08:18:54.852449,https://openalex.org/T11737,Advanced Materials and Mechanics
W4408889056.pdf,2025-03-26,2025-08-14T08:18:55.958587,https://openalex.org/T14392,Geoscience and Mining Technology
W4406882577.pdf,2025-01-28,2025-08-14T08:19:27.935498,https://openalex.org/T10409,Fuel Cells and Related Materials
W4406928865.pdf,2025-01-29,2025-08-14T08:19:32.667821,https://openalex.org/T11326,Stock Market Forecasting Methods
W4408245791.pdf,2025-03-05,2025-08-14T08:20:00.518393,https://openalex.org/T10972,Power Systems Fault Detection
W4408550109.pdf,2025-03-18,2025-08-14T08:20:11.630321,https://openalex.org/T10502,Advanced Memory and Neural Computing
W4408585972.pdf,2025-03-18,2025-08-14T08:20:13.978162,https://openalex.org/T12702,Brain Tumor Detection and Classification
W4408712111.pdf,2025-03-21,2025-08-14T08:20:16.218198,https://openalex.org/T10521,RNA and protein synthesis mechanisms
W4408723680.pdf,2025-03-22,2025-08-14T08:20:18.978913,https://openalex.org/T12702,Brain Tumor Detection and Classification
W4408723892.pdf,2025-03-22,2025-08-14T08:20:20.623777,https://openalex.org/T13693,Smart Systems and Machine Learning
W4408818245.pdf,2025-03-25,2025-08-14T08:20:25.229293,https://openalex.org/T11452,Oral Health Pathology and Treatment
W4408822691.pdf,2025-03-26,2025-08-14T08:20:27.708628,https://openalex.org/T10616,Smart Agriculture and AI
W4408824451.pdf,2025-03-25,2025-08-14T08:20:29.458705,https://openalex.org/T10444,Context-Aware Activity Recognition Systems
W4408878556.pdf,2025-03-25,2025-08-14T08:20:33.181014,https://openalex.org/T11948,Machine Learning in Materials Science
W4408912432.pdf,2025-03-27,2025-08-14T08:20:34.689434,https://openalex.org/T12015,Photoacoustic and Ultrasonic Imaging
W4411395052.pdf,2025-05-31,2025-08-14T08:20:51.959765,https://openalex.org/T11490,Hydrological Forecasting Using AI
W4407057080.pdf,2025-01-29,2025-08-14T08:21:03.942132,https://openalex.org/T10785,Economic Theory and Institutions
W4407282394.pdf,2025-02-09,2025-08-14T08:21:07.250091,https://openalex.org/T11714,Multimodal Machine Learning Applications
W4408588069.pdf,2025-03-19,2025-08-14T08:21:14.684087,https://openalex.org/T11775,COVID-19 diagnosis using AI
W4408712900.pdf,2025-03-21,2025-08-14T08:21:17.048918,https://openalex.org/T12026,Explainable Artificial Intelligence (XAI)
W4406274490.pdf,2025-01-11,2025-08-14T08:21:59.696434,https://openalex.org/T10217,Cardiac electrophysiology and arrhythmias
W4406314138.pdf,2025-01-13,2025-08-14T08:22:02.761974,https://openalex.org/T10787,Lightning and Electromagnetic Phenomena
W4406738604.pdf,2025-01-23,2025-08-14T08:22:54.997461,https://openalex.org/T10015,Genomics and Phylogenetic Studies
W4406847346.pdf,2025-01-27,2025-08-14T08:23:05.409038,https://openalex.org/T11289,Single-cell and spatial transcriptomics
W4406878698.pdf,2025-01-23,2025-08-14T08:23:12.252623,https://openalex.org/T11590,Primary Care and Health Outcomes
W4406882731.pdf,2025-01-28,2025-08-14T08:23:13.643834,https://openalex.org/T10689,Remote-Sensing Image Classification
W4406908094.pdf,2025-01-28,2025-08-14T08:23:20.537057,https://openalex.org/T11636,Artificial Intelligence in Healthcare and Education
W4406913943.pdf,2025-01-28,2025-08-14T08:23:23.118573,https://openalex.org/T11213,Genomic variations and chromosomal abnormalities
W4406916226.pdf,2025-01-28,2025-08-14T08:23:24.429525,https://openalex.org/T10534,Structural Health Monitoring Techniques
W4406959035.pdf,2025-01-29,2025-08-14T08:23:30.167887,https://openalex.org/T11147,Misinformation and Its Impacts
W4406963977.pdf,2025-01-28,2025-08-14T08:23:31.928529,https://openalex.org/T10616,Smart Agriculture and AI
W4406964147.pdf,2025-01-28,2025-08-14T08:23:33.360712,https://openalex.org/T11095,Emergency and Acute Care Studies
W4407008877.pdf,2025-01-28,2025-08-14T08:23:37.506836,https://openalex.org/T10644,Cryospheric studies and observations
W4407209083.pdf,2025-02-07,2025-08-14T08:23:54.112718,https://openalex.org/T12955,Atherosclerosis and Cardiovascular Diseases
W4407769777.pdf,2025-02-20,2025-08-14T08:24:30.536534,https://openalex.org/T10510,Stroke Rehabilitation and Recovery
W4408122721.pdf,2025-03-04,2025-08-14T08:24:57.064284,https://openalex.org/T10429,EEG and Brain-Computer Interfaces
W4408542836.pdf,2025-03-19,2025-08-14T08:25:37.054925,https://openalex.org/T11021,ECG Monitoring and Analysis
W4408561253.pdf,2025-03-18,2025-08-14T08:25:40.351289,https://openalex.org/T11609,Geophysical Methods and Applications
W4408562519.pdf,2025-03-18,2025-08-14T08:25:41.473093,https://openalex.org/T11105,Advanced Image Processing Techniques
W4408563461.pdf,2025-03-18,2025-08-14T08:25:42.723023,https://openalex.org/T11689,Adversarial Robustness in Machine Learning
W4408566786.pdf,2025-03-18,2025-08-14T08:25:44.425800,https://openalex.org/T11052,Energy Load and Power Forecasting
W4408570503.pdf,2025-03-18,2025-08-14T08:25:47.619748,https://openalex.org/T10784,Muscle activation and electromyography studies
W4408571362.pdf,2025-03-18,2025-08-14T08:25:49.118925,https://openalex.org/T11622,Maritime Navigation and Safety
W4408571471.pdf,2025-03-18,2025-08-14T08:25:50.789502,https://openalex.org/T10211,Computational Drug Discovery Methods
W4408572865.pdf,2025-03-18,2025-08-14T08:25:54.657677,https://openalex.org/T10627,Advanced Image and Video Retrieval Techniques
W4408573125.pdf,2025-03-18,2025-08-14T08:25:55.819781,https://openalex.org/T12111,Industrial Vision Systems and Defect Detection
W4408573791.pdf,2025-03-18,2025-08-14T08:25:57.623112,https://openalex.org/T11021,ECG Monitoring and Analysis
W4408579761.pdf,2025-03-18,2025-08-14T08:26:04.373048,https://openalex.org/T11017,Chaos-based Image/Signal Encryption
W4408581761.pdf,2025-03-18,2025-08-14T08:26:07.421998,https://openalex.org/T10220,Machine Fault Diagnosis Techniques
W4408582256.pdf,2025-03-18,2025-08-14T08:26:09.426204,https://openalex.org/T10326,Indoor and Outdoor Localization Technologies
W4408585538.pdf,2025-03-18,2025-08-14T08:26:13.824804,https://openalex.org/T10223,Microgrid Control and Optimization
W4408693727.pdf,2025-03-21,2025-08-14T08:26:19.691062,https://openalex.org/T12111,Industrial Vision Systems and Defect Detection
W4408701636.pdf,2025-03-21,2025-08-14T08:26:20.694608,https://openalex.org/T11122,Online Learning and Analytics
W4408705738.pdf,2025-03-22,2025-08-14T08:26:21.872292,https://openalex.org/T12874,Digital Imaging for Blood Diseases
W4408709122.pdf,2025-03-21,2025-08-14T08:26:24.790131,https://openalex.org/T10036,Advanced Neural Network Applications
W4408712376.pdf,2025-03-21,2025-08-14T08:26:26.981319,https://openalex.org/T10400,Network Security and Intrusion Detection
W4408712458.pdf,2025-03-21,2025-08-14T08:26:28.014222,https://openalex.org/T12310,Crop Yield and Soil Fertility
W4408723194.pdf,2025-03-22,2025-08-14T08:26:30.795997,https://openalex.org/T11586,Congenital Diaphragmatic Hernia Studies
W4408723261.pdf,2025-03-21,2025-08-14T08:26:32.329471,https://openalex.org/T10845,Advanced Causal Inference Techniques
W4408723861.pdf,2025-03-22,2025-08-14T08:26:35.209311,https://openalex.org/T10223,Microgrid Control and Optimization
W4408724021.pdf,2025-03-22,2025-08-14T08:26:36.436373,https://openalex.org/T10331,Video Surveillance and Tracking Methods
W4408724126.pdf,2025-03-22,2025-08-14T08:26:38.873810,https://openalex.org/T10228,Multilevel Inverters and Converters
